epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
96,939.832,2.66712,1.78305,2.28263,0.65787,0.56793,0.59312,0.30933,3.40081,2.69968,2.77276,0.0010595,0.0010595,0.0010595
97,948.771,2.72081,1.79639,2.29294,0.62182,0.59479,0.60792,0.31476,3.39816,2.59627,2.757,0.0010496,0.0010496,0.0010496
98,956.393,2.65821,1.74751,2.29126,0.60511,0.59795,0.60228,0.30258,3.43133,2.68445,2.7705,0.0010397,0.0010397,0.0010397
99,963.378,2.65284,1.8033,2.3088,0.62259,0.55134,0.58657,0.30008,3.41774,2.75838,2.79353,0.0010298,0.0010298,0.0010298
100,971.262,2.6272,1.786,2.29722,0.62096,0.58689,0.59541,0.31035,3.39975,2.63706,2.76646,0.0010199,0.0010199,0.0010199
101,982.929,2.61306,1.80845,2.32315,0.63302,0.55766,0.57643,0.29362,3.40852,2.74814,2.77321,0.00101,0.00101,0.00101
102,993.344,2.63632,1.77721,2.28173,0.61746,0.56556,0.57544,0.29791,3.40515,2.76572,2.74717,0.0010001,0.0010001,0.0010001
103,1001.6,2.63964,1.80614,2.32373,0.64951,0.57662,0.60399,0.30805,3.4179,2.54462,2.737,0.0009902,0.0009902,0.0009902
104,1011.16,2.60782,1.71301,2.2843,0.64103,0.59005,0.59836,0.30624,3.40864,2.61915,2.78424,0.0009803,0.0009803,0.0009803
105,1020.06,2.65206,1.7312,2.26564,0.61818,0.60032,0.59905,0.30848,3.39962,2.63026,2.77564,0.0009704,0.0009704,0.0009704
106,1028.61,2.67891,1.75022,2.29663,0.64262,0.57741,0.59824,0.3084,3.40696,2.66949,2.76439,0.0009605,0.0009605,0.0009605
107,1036.98,2.61679,1.73342,2.25629,0.63626,0.55544,0.57649,0.29836,3.40062,2.78226,2.78354,0.0009506,0.0009506,0.0009506
108,1044.97,2.54667,1.66056,2.26848,0.63171,0.55845,0.58587,0.30679,3.3862,2.65123,2.77976,0.0009407,0.0009407,0.0009407
109,1052.58,2.598,1.64126,2.21385,0.62284,0.56003,0.56795,0.28741,3.44487,2.77389,2.807,0.0009308,0.0009308,0.0009308
110,1059.93,2.57676,1.64892,2.23581,0.62808,0.59479,0.60312,0.31075,3.40263,2.59866,2.7851,0.0009209,0.0009209,0.0009209
111,1067.55,2.55948,1.64086,2.25783,0.62629,0.57741,0.5766,0.29828,3.40437,2.70801,2.77997,0.000911,0.000911,0.000911
112,1075.25,2.48782,1.63554,2.26244,0.66476,0.567,0.60024,0.30669,3.43254,2.67975,2.80378,0.0009011,0.0009011,0.0009011
113,1082.2,2.58077,1.62036,2.20282,0.64668,0.56082,0.58669,0.30224,3.43158,2.78681,2.79719,0.0008912,0.0008912,0.0008912
114,1089.09,2.48515,1.58305,2.20209,0.62506,0.59084,0.58487,0.3021,3.41328,2.75726,2.77782,0.0008813,0.0008813,0.0008813
115,1095.95,2.50127,1.63455,2.20777,0.65327,0.52528,0.55683,0.29224,3.39223,2.91578,2.76463,0.0008714,0.0008714,0.0008714
116,1102.86,2.51663,1.5465,2.21735,0.65647,0.56152,0.57692,0.29862,3.43403,2.66736,2.82816,0.0008615,0.0008615,0.0008615
117,1109.66,2.53634,1.5564,2.19018,0.60899,0.58294,0.58013,0.30076,3.42656,2.74765,2.81159,0.0008516,0.0008516,0.0008516
118,1116.42,2.50787,1.56676,2.18961,0.58905,0.60742,0.58555,0.29931,3.4412,2.78935,2.8468,0.0008417,0.0008417,0.0008417
119,1123.16,2.53569,1.64372,2.23411,0.6411,0.54976,0.57248,0.29312,3.44231,2.75131,2.8026,0.0008318,0.0008318,0.0008318
120,1130.02,2.47577,1.55583,2.17285,0.62333,0.58294,0.57874,0.3005,3.39206,2.74668,2.74585,0.0008219,0.0008219,0.0008219
121,1136.82,2.43012,1.5225,2.20105,0.63672,0.59115,0.58989,0.30947,3.37693,2.71218,2.74425,0.000812,0.000812,0.000812
122,1143.54,2.41868,1.54393,2.18477,0.6616,0.55687,0.59326,0.3118,3.40884,2.70676,2.78404,0.0008021,0.0008021,0.0008021
123,1152.18,2.52465,1.50867,2.15439,0.62908,0.5774,0.59346,0.31292,3.40211,2.60521,2.78415,0.0007922,0.0007922,0.0007922
124,1161.48,2.47081,1.51758,2.18246,0.63145,0.61058,0.60632,0.31477,3.41444,2.65843,2.7813,0.0007823,0.0007823,0.0007823
125,1169.69,2.43126,1.52391,2.18513,0.63175,0.60742,0.59535,0.31148,3.39714,2.66203,2.7445,0.0007724,0.0007724,0.0007724
126,1178,2.47805,1.53395,2.15445,0.65245,0.55608,0.58561,0.30538,3.427,2.70783,2.78333,0.0007625,0.0007625,0.0007625
127,1186.97,2.41214,1.51651,2.18084,0.63906,0.5782,0.58324,0.30093,3.46971,2.75893,2.81606,0.0007526,0.0007526,0.0007526
128,1195.93,2.42317,1.53983,2.18359,0.62689,0.59479,0.58574,0.30304,3.41152,2.8535,2.78888,0.0007427,0.0007427,0.0007427
129,1205.15,2.41975,1.48965,2.16196,0.63413,0.54028,0.56559,0.29235,3.48467,3.07377,2.84618,0.0007328,0.0007328,0.0007328
130,1214.27,2.36458,1.45921,2.15348,0.64658,0.54739,0.5915,0.30522,3.47512,2.77973,2.81308,0.0007229,0.0007229,0.0007229
131,1223.45,2.41601,1.4825,2.16084,0.62904,0.58667,0.57397,0.29825,3.45175,2.78407,2.8204,0.000713,0.000713,0.000713
132,1232.66,2.39423,1.50656,2.19573,0.61141,0.56796,0.56097,0.28648,3.47866,2.84842,2.82088,0.0007031,0.0007031,0.0007031
133,1241.94,2.45337,1.51527,2.15505,0.6292,0.5549,0.57118,0.2974,3.45978,2.81856,2.8248,0.0006932,0.0006932,0.0006932
134,1251.09,2.36988,1.44713,2.16722,0.61825,0.55608,0.57023,0.2941,3.47471,2.84793,2.83021,0.0006833,0.0006833,0.0006833
135,1259.78,2.41941,1.46906,2.15342,0.61822,0.56003,0.56507,0.28904,3.44508,3.00965,2.79994,0.0006734,0.0006734,0.0006734
136,1268.49,2.41851,1.49313,2.15887,0.65826,0.56319,0.58741,0.30657,3.45668,2.73526,2.79711,0.0006635,0.0006635,0.0006635
137,1277.02,2.37024,1.43528,2.11697,0.62807,0.58531,0.58064,0.30154,3.44378,2.81892,2.82276,0.0006536,0.0006536,0.0006536
138,1285.64,2.41122,1.44833,2.15094,0.61108,0.61435,0.583,0.30664,3.44955,2.74587,2.84593,0.0006437,0.0006437,0.0006437
139,1294.37,2.36198,1.39726,2.10326,0.61989,0.55608,0.57297,0.3044,3.44365,2.91478,2.8196,0.0006338,0.0006338,0.0006338
140,1303.18,2.35331,1.43317,2.14305,0.63107,0.56477,0.58467,0.30988,3.42589,2.79459,2.81377,0.0006239,0.0006239,0.0006239
141,1312.46,2.3126,1.39009,2.10366,0.63731,0.57267,0.58015,0.29785,3.45779,2.7982,2.83378,0.000614,0.000614,0.000614
142,1321.5,2.2952,1.39456,2.10919,0.62476,0.59795,0.58385,0.29811,3.45642,2.8168,2.86646,0.0006041,0.0006041,0.0006041
143,1330.89,2.30436,1.38292,2.13083,0.61074,0.59795,0.58779,0.30655,3.41947,2.80808,2.81843,0.0005942,0.0005942,0.0005942
144,1340.12,2.38441,1.39054,2.1047,0.65984,0.53791,0.56324,0.28547,3.45497,2.88913,2.82149,0.0005843,0.0005843,0.0005843
145,1349.3,2.37742,1.40235,2.13528,0.62328,0.57188,0.56755,0.29398,3.47599,2.85501,2.85551,0.0005744,0.0005744,0.0005744
146,1358.64,2.33545,1.39916,2.1159,0.63838,0.5624,0.57635,0.29671,3.49833,2.97108,2.86795,0.0005645,0.0005645,0.0005645
147,1367.31,2.29879,1.3486,2.08025,0.64991,0.56082,0.58171,0.30655,3.44195,2.85515,2.83375,0.0005546,0.0005546,0.0005546
148,1374.29,2.32377,1.36875,2.12183,0.66017,0.56872,0.59021,0.30739,3.48687,2.88717,2.89436,0.0005447,0.0005447,0.0005447
149,1382.27,2.26618,1.34978,2.09579,0.6516,0.54265,0.57652,0.30553,3.45422,3.02824,2.81113,0.0005348,0.0005348,0.0005348
150,1390.19,2.23361,1.36638,2.10425,0.61232,0.59636,0.59376,0.30974,3.45646,2.77133,2.81118,0.0005249,0.0005249,0.0005249
151,1397.62,2.23768,1.32263,2.07769,0.64367,0.57978,0.59414,0.30415,3.47364,2.81012,2.8267,0.000515,0.000515,0.000515
152,1404.86,2.2335,1.32762,2.08596,0.61594,0.59716,0.59411,0.31074,3.43043,2.85397,2.82803,0.0005051,0.0005051,0.0005051
153,1412.11,2.25779,1.34018,2.09641,0.65343,0.55996,0.57843,0.30091,3.44025,2.94316,2.79958,0.0004952,0.0004952,0.0004952
154,1419.36,2.19961,1.29677,2.07328,0.64572,0.58057,0.59284,0.30819,3.47185,2.88637,2.80782,0.0004853,0.0004853,0.0004853
155,1426.56,2.19925,1.26639,2.06553,0.65619,0.55292,0.58311,0.29986,3.50558,2.90093,2.86107,0.0004754,0.0004754,0.0004754
